claim_id,claim_seq,policy_id,equipment_id,equipment_type,equipment_age,solar_system,maintenance_int,usage_int,exposure,claim_amount
EF-C-0001519,1,EF-302450,EQ-863159,FexStram Carrier,14.168,Zeta,946.49,20.55,0.73,38545
EF-C-0001520,1,EF-679965,EQ-953970,Graviton Extractor,12.726,Zeta,1077.61,21.8,0.613,83951
EF-C-0001521,1,EF-089477,EQ-883552,Ion Pulverizer,3.589,Zeta,887.07,11.38,0.454,32954
EF-C-0001522,1,EF-060694,EQ-108260,FexStram Carrier,12.789,Epsilon,1770.46,16.88,0.667,48352
EF-C-0001523,1,EF-824353,EQ-157050,Ion Pulverizer,22.225,Epsilon,1428.19,17.4,0.877,44189
EF-C-0001524,2,EF-824353,EQ-157050,Ion Pulverizer,22.225,Epsilon,1428.19,17.4,0.877,49305
EF-C-0001525,1,EF-824353,EQ-157050,Ion Pulverizer,22.225,Epsilon,1428.19,17.4,0.877,145363
EF-C-0001526,2,EF-824353,EQ-157050,Ion Pulverizer,22.225,Epsilon,1428.19,17.4,0.877,116310
EF-C-0001527,1,EF-626091,EQ-732343,Flux Rider,13.65,Helionis Cluster,1357.62,16.72,0.98,33481
EF-C-0001528,2,EF-626091,EQ-732343,Flux Rider,13.65,Helionis Cluster,1357.62,16.72,0.98,113218
EF-C-0001529,1,EF-626091,EQ-732343,Flux Rider,13.65,Helionis Cluster,1357.62,16.72,0.98,30752
EF-C-0001530,2,EF-626091,EQ-732343,Flux Rider,13.65,Helionis Cluster,1357.62,16.72,0.98,18716
EF-C-0001531,1,EF-673390,EQ-977232,ReglAggregators,20.888,Zeta,556.44,18.63,0.846,86105
EF-C-0001532,1,EF-888960,EQ-113659,Ion Pulverizer,12.984,Epsilon,1267.53,12.29,0.826,119043
EF-C-0001533,1,EF-038274,EQ-553852,Quantum Bore,10.716,Zeta,1477.7,6.04,0.57,63663
EF-C-0001534,1,EF-335033,EQ-519541,Flux Rider,13.142,Epsilon,1242.54,15.44,0.529,85819
EF-C-0001535,2,EF-335033,EQ-519541,Flux Rider,13.142,Epsilon,1242.54,15.44,0.529,0
EF-C-0001536,1,EF-335033,EQ-519541,Flux Rider,13.142,Epsilon,1242.54,15.44,0.529,36283
EF-C-0001537,2,EF-335033,EQ-519541,Flux Rider,13.142,Epsilon,1242.54,15.44,0.529,73389
EF-C-0001538,1,EF-285826,EQ-030799,Quantum Bore,8.239,Epsilon,536.03,18.87,0.575,155339
EF-C-0001539,2,EF-285826,EQ-030799,Quantum Bore,8.239,Epsilon,536.03,18.87,0.575,130318
EF-C-0001540,1,EF-285826,EQ-030799,Quantum Bore,8.239,Epsilon,536.03,18.87,0.575,116657
EF-C-0001541,2,EF-285826,EQ-030799,Quantum Bore,8.239,Epsilon,536.03,18.87,0.575,67658
EF-C-0001542,1,EF-773958,EQ-089087,Flux Rider,3.474,Zeta,1259.96,22.88,0.663,137299
EF-C-0001543,1,EF-213614,EQ-545660,FexStram Carrier,13.46,Helionis Cluster,1149.21,22.28,0.175,41800
EF-C-0001544,1,EF-438817,EQ-995229,Graviton Extractor,11.421,Zeta,1755.19,16.72,0.466,51642
EF-C-0001545,1,EF-645549,EQ-120481,Quantum Bore,7.534,Epsilon,288.56,15.57,0.683,160778
EF-C-0001546,1,EF-457205,EQ-374212,Ion Pulverizer,3,Zeta,1115.97,14.69,0.926,1560063.785
EF-C-0001547,1,EF-738684,EQ-205400,Graviton Extractor,15.974,Epsilon,1332.23,21.08,0.545,42199
EF-C-0001548,2,EF-738684,EQ-205400,Graviton Extractor,15.974,Epsilon,1332.23,21.08,0.545,77635
EF-C-0001549,1,EF-738684,EQ-205400,Graviton Extractor,15.974,Epsilon,1332.23,21.08,0.545,151005
EF-C-0001550,2,EF-738684,EQ-205400,Graviton Extractor,15.974,Epsilon,1332.23,21.08,0.545,71088
EF-C-0001551,1,EF-873048,EQ-564696,Graviton Extractor,11.975,Helionis Cluster,788.2,11.78,0.615,94152
EF-C-0001552,1,EF-860722,EQ-838787,Ion Pulverizer,12.81,Epsilon,1079.55,5.04,0.457,55186
EF-C-0001553,1,EF-919966,EQ-781650,Flux Rider,16.016,Zeta,149.46,6.71,0.875,56324
EF-C-0001554,1,EF-477514,EQ-047040,Graviton Extractor,8.878,Helionis Cluster,1597.47,17.93,0.781,41363
EF-C-0001555,1,EF-753733,EQ-787164,ReglAggregators,16.715,Zeta,376.38,21.91,0.68,128862
EF-C-0001556,1,EF-672125,EQ-644351,Graviton Extractor,13.361,Helionis Cluster,642.09,10.75,0.416,88553
EF-C-0001557,1,EF-916158,EQ-723101,Ion Pulverizer,14.258,Helionis Cluster,1786.13,21.26,0.364,32170
EF-C-0001558,1,EF-316735,EQ-564811,Ion Pulverizer,16.185,Epsilon,669.73,23.27,0.55,93389
EF-C-0001559,1,EF-458908,EQ-413367,ReglAggregators,7.169,Helionis Cluster,1736.67,17.47,0.576,49245
EF-C-0001560,1,EF-609784,EQ-717013,Ion Pulverizer,8.981,Zeta,1680.55,0,0.794,62388
EF-C-0001561,1,EF-235212,EQ-165720,ReglAggregators,7.663,Epsilon,1312.29,9.84,0.665,82903
EF-C-0001562,1,EF-050833,EQ-755087,Quantum Bore,6.816,Epsilon,1293.14,19.88,0.432,135484
EF-C-0001563,1,EF-640090,EQ-261339,Ion Pulverizer,14.321,Zeta,1171.07,17.66,0.262,69302
EF-C-0001564,1,EF-753127,EQ-875795,ReglAggregators,9.492,Helionis Cluster,861.93,20.81,0.588,90013
EF-C-0001565,1,EF-170686,EQ-995280,Flux Rider,10.419,Zeta,1613.48,8.48,0.38,51233
EF-C-0001566,1,EF-175116,EQ-521511,ReglAggregators,5.609,Helionis Cluster,179.42,4.52,0.537,25258
EF-C-0001567,1,EF-320664,EQ-652455,Quantum Bore,8.878,Epsilon,1534.06,21.55,0.783,351781
EF-C-0001568,1,EF-766174,EQ-030387,Quantum Bore,20.614,Epsilon,944.48,7.27,0.289,98214
EF-C-0001569,1,EF-540892,EQ-202113,Ion Pulverizer,12.093,Helionis Cluster,137.91,8.96,0.45,33335
EF-C-0001570,1,EF-373117,EQ-641210,ReglAggregators,7.422,Helionis Cluster,1126.25,2.79,0.767,22280
EF-C-0001571,2,EF-373117,EQ-641210,ReglAggregators,7.422,Helionis Cluster,1126.25,2.79,0.767,14676
EF-C-0001572,1,EF-373117,EQ-641210,ReglAggregators,7.422,Helionis Cluster,1126.25,2.79,0.767,31103
EF-C-0001573,2,EF-373117,EQ-641210,ReglAggregators,7.422,Helionis Cluster,1126.25,2.79,0.767,16087
EF-C-0001574,1,EF-344436,EQ-012416,FexStram Carrier,3.856,Zeta,782.75,22.61,0.899,27586
EF-C-0001575,1,EF-864178,EQ-563070,ReglAggregators,10.525,Zeta,1261.01,4.69,0.324,48940
EF-C-0001576,1,EF-592918,EQ-239478,FexStram Carrier,8.92,Helionis Cluster,464.8,13.51,0.905,34034
EF-C-0001577,1,EF-236107,EQ-254259,ReglAggregators,13.399,Zeta,1016.15,18.16,0.796,41715
EF-C-0001578,1,EF-150136,EQ-006591,ReglAggregators,9.704,Helionis Cluster,1513.02,17.94,0.28,59261
EF-C-0001579,2,EF-150136,EQ-006591,ReglAggregators,9.704,Helionis Cluster,1513.02,17.94,0.28,45054
EF-C-0001580,1,EF-150136,EQ-006591,ReglAggregators,9.704,Helionis Cluster,1513.02,17.94,0.28,55371
EF-C-0001581,2,EF-150136,EQ-006591,ReglAggregators,9.704,Helionis Cluster,1513.02,17.94,0.28,273392
EF-C-0001582,1,EF-016946,EQ-160341,ReglAggregators,10.768,Zeta,1085.81,0.98,0.7,54963
EF-C-0001583,1,EF-879382,EQ-988689,Graviton Extractor,17.856,Zeta,1751.55,12.86,0.581,61901
EF-C-0001584,1,EF-755922,EQ-252704,ReglAggregators,22.549,Zeta,932.81,14,0.574,72640
EF-C-0001585,1,EF-077712,EQ-184467,Flux Rider,12.84,Epsilon,1462.86,15.28,0.811,70917
EF-C-0001586,1,EF-568880,EQ-548443,ReglAggregators,15.955,Zeta,1430.18,16.07,0.467,72197
EF-C-0001587,1,EF-206564,EQ-914452,Graviton Extractor,20.477,Zeta,447.59,9.58,0.33,46725
EF-C-0001588,1,EF-826591,EQ-706296,ReglAggregators,9.454,Zeta,1303.01,20.94,0.814,144596
EF-C-0001589,1,EF-388360,EQ-890766,Graviton Extractor,18.806,Helionis Cluster,1094.82,19.48,0.897,71108
EF-C-0001590,2,EF-388360,EQ-890766,Graviton Extractor,18.806,Helionis Cluster,1094.82,19.48,0.897,79011
EF-C-0001591,1,EF-388360,EQ-890766,Graviton Extractor,18.806,Helionis Cluster,1094.82,19.48,0.897,148092
EF-C-0001592,2,EF-388360,EQ-890766,Graviton Extractor,18.806,Helionis Cluster,1094.82,19.48,0.897,173502
EF-C-0001593,1,EF-620038,EQ-699297,Flux Rider,17.507,Zeta,1145.91,13.4,0.328,74480
EF-C-0001594,1,EF-189408,EQ-088979,Quantum Bore,9.566,Helionis Cluster,509.19,11.6,0.457,71909
EF-C-0001595,1,EF-588573,EQ-812181,Ion Pulverizer,9.843,Epsilon,1461.55,13.47,0.71,53430
EF-C-0001596,1,EF-018178,EQ-100684,Graviton Extractor,6.395,Zeta,288.67,6.86,0.612,77175
EF-C-0001597,1,EF-624702,EQ-614021,Graviton Extractor,18.613,Helionis Cluster,897.35,23.06,0.54,197931
EF-C-0001598,1,EF-637009,EQ-686009,ReglAggregators,15.529,Epsilon,758.57,18.73,0.513,356634
EF-C-0001599,1,EF-464091,EQ-681129,ReglAggregators,14.694,Zeta,853.08,19.05,0.422,92042
EF-C-0001600,1,EF-561321,EQ-802392,Flux Rider,10.518,Zeta,779.45,18.45,0.965,77794
EF-C-0001601,1,EF-564331,EQ-193464,Quantum Bore,5.152,Zeta,1327.89,17.72,0.458,93694
EF-C-0001602,1,EF-628887,EQ-028575,Ion Pulverizer,15.727,Epsilon,1065.55,14.16,0.673,113985
EF-C-0001603,1,EF-419267,EQ-439310,ReglAggregators,8.256,Helionis Cluster,325.42,5.33,0.511,155304
EF-C-0001604,1,EF-914037,EQ-014191,Flux Rider,7.839,Zeta,305.54,12.59,0.329,75605
EF-C-0001605,1,EF-334562,EQ-528733,Flux Rider,21.444,Zeta,662.46,18.9,0.098,89195
EF-C-0001606,1,EF-900732,EQ-831566,Ion Pulverizer,18.29,Helionis Cluster,534.55,6.86,0.929,34928
EF-C-0001607,1,EF-026190,EQ-024271,ReglAggregators,12.995,Helionis Cluster,262.72,18.93,0.422,233896
EF-C-0001608,1,EF-426485,EQ-555183,ReglAggregators,12.85,Epsilon,284.89,17.41,0.469,143052
EF-C-0001609,1,EF-177772,EQ-444266,ReglAggregators,12.325,Helionis Cluster,1799.54,23.79,0.594,41297
EF-C-0001610,1,EF-345353,EQ-839544,Ion Pulverizer,18.244,Epsilon,1691.55,0.59,0.314,69601
EF-C-0001611,1,EF-615662,EQ-898057,ReglAggregators,14.928,Zeta,775.9,18.38,0.503,67763
EF-C-0001612,1,EF-744690,EQ-989952,Graviton Extractor,11.139,Zeta,616.11,2.79,0.512,73786
EF-C-0001613,1,EF-248855,EQ-051188,ReglAggregators,3,Epsilon,856.17,2.59,0.26,46697
EF-C-0001614,1,EF-410268,EQ-577001,Ion Pulverizer,5.745,Epsilon,487.18,15.9,0.26,110733
EF-C-0001615,1,EF-699359,EQ-351827,FexStram Carrier,7.116,Helionis Cluster,541.64,21.29,0.211,46105
EF-C-0001616,1,EF-982714,EQ-706265,Ion Pulverizer,17.518,Epsilon,1416.28,22.97,0.736,114358
EF-C-0001617,1,EF-400802,EQ-426929,Quantum Bore,14.583,Epsilon,1442.85,12.35,0.429,78455
EF-C-0001618,1,EF-258308,EQ-204630,Ion Pulverizer,10.109,Zeta,1534.49,9.9,0.886,43286
EF-C-0001619,1,EF-585566,EQ-628336,FexStram Carrier,8.537,Helionis Cluster,934.98,9.6,0.731,30138
EF-C-0001620,1,EF-623016,EQ-858169,Flux Rider,5.054,Helionis Cluster,322.09,21.9,0.717,10064
EF-C-0001621,1,EF-123470,EQ-768933,Flux Rider,10.188,Epsilon,529.52,17.39,0.46,35884
EF-C-0001622,1,EF-320314,EQ-358782,Ion Pulverizer,13.976,Epsilon,1130.06,11.34,0.881,63628
EF-C-0001623,1,EF-663210,EQ-800372,Ion Pulverizer,11.865,Epsilon,1087.17,4.3,0.901,53831
EF-C-0001624,1,EF-814582,EQ-778379,Ion Pulverizer,17.042,Epsilon,741.53,20.72,0.474,139343
EF-C-0001625,1,EF-545187,EQ-855165,Quantum Bore,19.113,Epsilon,1254.29,13.75,0.524,85383
EF-C-0001626,1,EF-027190,EQ-065080,Quantum Bore,16.819,Epsilon,1441.21,17.11,0.629,103649
EF-C-0001627,1,EF-971444,EQ-276886,Flux Rider,10.816,Zeta,589.91,7.03,0.577,29333
EF-C-0001628,1,EF-045366,EQ-761569,Quantum Bore,9.333,Helionis Cluster,270.51,0.86,0.508,44580
EF-C-0001629,1,EF-786656,EQ-143110,ReglAggregators,3,Epsilon,1357.5,16.8,0.745,58295
EF-C-0001630,1,EF-690036,EQ-788478,Ion Pulverizer,11.933,Zeta,1072.86,9.44,0.184,36782
EF-C-0001631,1,EF-648315,EQ-913065,FexStram Carrier,12.822,Helionis Cluster,1775.44,4.24,0.347,63093
EF-C-0001632,1,EF-568675,EQ-946047,Ion Pulverizer,11.732,Epsilon,100.01,18.11,0.456,64961
EF-C-0001633,1,EF-646410,EQ-322444,Graviton Extractor,14.618,Epsilon,917,20.64,0.609,121517
EF-C-0001634,1,EF-688111,EQ-725263,Quantum Bore,20.899,Epsilon,458.3,16.3,0.768,102974
EF-C-0001635,1,EF-376259,EQ-702792,Ion Pulverizer,6.905,Epsilon,631.2,11.28,0.451,32455
EF-C-0001636,1,EF-452289,EQ-729380,Ion Pulverizer,5.041,Epsilon,515.91,7.11,0.539,50714
EF-C-0001637,1,EF-496138,EQ-398127,Quantum Bore,11.559,Epsilon,443.48,14.71,0.601,147456
EF-C-0001638,1,EF-553640,EQ-059279,Ion Pulverizer,14.782,Epsilon,399.04,15.31,0.684,44399
EF-C-0001639,1,EF-751556,EQ-915573,ReglAggregators,7.758,Zeta,700.22,16.63,0.774,152498
EF-C-0001640,1,EF-809724,EQ-036299,ReglAggregators,17.621,Helionis Cluster,1748.26,7.77,0.6,60046
EF-C-0001641,1,EF-328079,EQ-922515,Quantum Bore,4.196,Helionis Cluster,329.69,2.43,0.764,114582
EF-C-0001642,1,EF-237608,EQ-750876,ReglAggregators,9.776,Epsilon,1636.24,1.42,0.198,68120
EF-C-0001643,1,EF-407005,EQ-357772,Flux Rider,12.702,Zeta,1250.03,12.3,0.496,46152
EF-C-0001644,1,EF-904897,EQ-970806,Quantum Bore,19.957,Zeta,1169.63,22.35,0.542,70627
EF-C-0001645,1,EF-316742,EQ-765900,ReglAggregators,16.309,Epsilon,448.89,5.97,0.516,63331
EF-C-0001646,1,EF-946237,EQ-955938,Graviton Extractor,10.102,Epsilon,1165.48,9.51,0.877,42553
EF-C-0001647,1,EF-047353,EQ-207746,Flux Rider,18.831,Epsilon,196.68,14.5,0.694,27069
EF-C-0001648,1,EF-511721,EQ-116689,Flux Rider,10.112,Zeta,1381.72,20.53,0.808,66735
EF-C-0001649,1,EF-617675,EQ-856795,Ion Pulverizer,3,Epsilon,1383.62,23.95,0.574,122053
EF-C-0001650,1,EF-582625,EQ-563877,Flux Rider,20.787,Epsilon,633.34,19.37,0.22,42182
EF-C-0001651,1,EF-283970,EQ-760882,Graviton Extractor,10.25,Epsilon,1659.48,13.68,0.779,107422
EF-C-0001652,2,EF-283970,EQ-760882,Graviton Extractor,10.25,Epsilon,1659.48,13.68,0.779,69510
EF-C-0001653,1,EF-283970,EQ-760882,Graviton Extractor,10.25,Epsilon,1659.48,13.68,0.779,42601
EF-C-0001654,2,EF-283970,EQ-760882,Graviton Extractor,10.25,Epsilon,1659.48,13.68,0.779,117212
EF-C-0001655,1,EF-198037,EQ-264199,Graviton Extractor,15.689,Epsilon,1339.94,9.25,0.45,33959
EF-C-0001656,1,EF-473338,EQ-259784,Graviton Extractor,15.707,Zeta,880.72,10.65,0.732,35118
EF-C-0001657,1,EF-747530,EQ-775986,Graviton Extractor,3,Epsilon,721.68,6.02,0.433,69879
EF-C-0001658,1,EF-884297,EQ-101656,Ion Pulverizer,13.437,Epsilon,139.94,14.05,0.752,92997
EF-C-0001659,1,EF-899269,EQ-758503,Ion Pulverizer,10.462,Helionis Cluster,745.25,15.34,0.226,71562
EF-C-0001660,1,EF-898530,EQ-547544,FexStram Carrier,3,Helionis Cluster,631.65,18.75,0.798,25886
EF-C-0001661,1,EF-550538,EQ-187336,ReglAggregators,3,Epsilon,1762.42,14.25,0.773,58220
EF-C-0001662,1,EF-625249,EQ-415826,ReglAggregators,7.878,Zeta,0,21.38,0.775,97772
EF-C-0001663,1,EF-151035,EQ-675979,ReglAggregators,6.019,Epsilon,159.15,21.65,0.724,57182
EF-C-0001664,1,EF-858241,EQ-424970,Quantum Bore,3,Helionis Cluster,1461.6,21.1,0.496,47601
EF-C-0001665,1,EF-843741,EQ-364734,Flux Rider,7.444,Zeta,1635.74,23.45,0.862,41785
EF-C-0001666,1,EF-922807,EQ-040443,ReglAggregators,18.846,Helionis Cluster,1444.05,17,0.249,59437
EF-C-0001667,1,EF-597562,EQ-257034,ReglAggregators,12.096,Zeta,1192.59,23.24,0.854,142264
EF-C-0001668,1,EF-767262,EQ-201268,Graviton Extractor,13.036,Epsilon,1790.66,14.52,0.408,142514
EF-C-0001669,1,EF-283727,EQ-445108,ReglAggregators,10.59,Epsilon,1294.38,3.59,0.479,53281
EF-C-0001670,1,EF-498923,EQ-183750,Ion Pulverizer,8.36,Epsilon,1217.8,8.74,0.69,51962
EF-C-0001671,1,EF-255172,EQ-303621,Graviton Extractor,7.222,Helionis Cluster,774.19,22.19,0.631,30329
EF-C-0001672,2,EF-255172,EQ-303621,Graviton Extractor,7.222,Helionis Cluster,774.19,22.19,0.631,173409
EF-C-0001673,1,EF-255172,EQ-303621,Graviton Extractor,7.222,Helionis Cluster,774.19,22.19,0.631,94637
EF-C-0001674,2,EF-255172,EQ-303621,Graviton Extractor,7.222,Helionis Cluster,774.19,22.19,0.631,119796
EF-C-0001675,1,EF-599766,EQ-772046,Graviton Extractor,15.313,Zeta,780.85,6.49,0.303,95486
EF-C-0001676,1,EF-508027,EQ-740026,ReglAggregators,14.617,Zeta,1270.33,21.15,0.928,268206
EF-C-0001677,1,EF-552062,EQ-507320,Ion Pulverizer,15.283,Helionis Cluster,1049.29,11.12,0.522,48028
EF-C-0001678,1,EF-474730,EQ-777484,Graviton Extractor,15.925,Zeta,1042.58,3.34,0.435,27612
EF-C-0001679,1,EF-412166,EQ-478968,Graviton Extractor,10.734,Epsilon,1594.93,16.88,0.742,120667
EF-C-0001680,1,EF-938010,EQ-061720,Ion Pulverizer,9.701,Zeta,1223.8,1.55,0.693,36543
EF-C-0001681,1,EF-411507,EQ-645881,Flux Rider,4.699,Zeta,1104.78,20.16,0.492,112305
EF-C-0001682,1,EF-417015,EQ-924124,Graviton Extractor,19.002,Epsilon,649.23,14.43,0.771,130098
EF-C-0001683,1,EF-716496,EQ-130301,Flux Rider,14.562,Epsilon,620.84,23.58,0.776,191898
EF-C-0001684,1,EF-922011,EQ-382365,Graviton Extractor,16.416,Epsilon,1356.49,18.76,0.359,59810
EF-C-0001685,1,EF-991212,EQ-776133,Graviton Extractor,14.837,Epsilon,1676.68,9.05,0.455,29074
EF-C-0001686,1,EF-891413,EQ-725886,Ion Pulverizer,16.513,Helionis Cluster,1612.85,5.9,0.331,74208
EF-C-0001687,1,EF-731943,EQ-288369,Graviton Extractor,3,Zeta,780.16,15.89,0.589,75920
EF-C-0001688,1,EF-750567,EQ-253953,ReglAggregators,13.235,Epsilon,956.27,16.1,0.833,102088
EF-C-0001689,1,EF-152984,EQ-317874,Graviton Extractor,14.36,Epsilon,1357.48,1.27,0.534,126000
EF-C-0001690,1,EF-628363,EQ-781018,FexStram Carrier,7.74,Helionis Cluster,240.79,8.75,0.458,49484
EF-C-0001691,1,EF-922535,EQ-714243,ReglAggregators,6.76,Zeta,1645.67,21.27,0.189,148682
EF-C-0001692,1,EF-545702,EQ-431979,Ion Pulverizer,20.593,Zeta,916.68,23.88,0.898,115776
EF-C-0001693,1,EF-991582,EQ-307463,ReglAggregators,3,Zeta,1531.55,18.96,0.833,161971
EF-C-0001694,1,EF-999850,EQ-546981,Ion Pulverizer,9.759,Epsilon,1173.17,18.68,0.777,64656
EF-C-0001695,1,EF-510329,EQ-031189,Flux Rider,17.878,Helionis Cluster,807.89,18.05,0.289,45763
EF-C-0001696,1,EF-792996,EQ-169318,ReglAggregators,13.259,Zeta,1064.91,14.49,0.642,87074
EF-C-0001697,1,EF-790697,EQ-451322,FexStram Carrier,9.636,Helionis Cluster,1610.11,0.73,0.658,19687
EF-C-0001698,1,EF-699795,EQ-611522,Flux Rider,20.903,Zeta,1492.82,3.08,0.932,63501
EF-C-0001699,1,EF-343172,EQ-464802,ReglAggregators,5.407,Helionis Cluster,134.86,18.29,0.421,97550
EF-C-0001700,1,EF-554702,EQ-204339,ReglAggregators,14.059,Helionis Cluster,1137.05,15.69,0.518,48065
EF-C-0001701,1,EF-329980,EQ-318175,Ion Pulverizer,12.198,Helionis Cluster,1721.58,16.96,0.638,39413
EF-C-0001702,1,EF-244347,EQ-878047,Flux Rider,13.012,Zeta,1235.34,19.59,0.802,55171
EF-C-0001703,1,EF-406048,EQ-541576,Quantum Bore,20.121,Zeta,1093.45,10.91,0.257,108590
EF-C-0001704,1,EF-649940,EQ-378248,ReglAggregators,10.951,Epsilon,1589.05,13.66,0.503,28973
EF-C-0001705,1,EF-425289,EQ-676488,Flux Rider,13.948,Zeta,399.62,22.49,0.275,166068
EF-C-0001706,1,EF-349373,EQ-426828,ReglAggregators,11.241,Helionis Cluster,754.4,6.97,0.363,30803
EF-C-0001707,1,EF-016486,EQ-574656,ReglAggregators,14.328,Zeta,417.54,19.99,0.617,140439
EF-C-0001708,1,EF-257188,EQ-539132,ReglAggregators,12.838,Zeta,1108.07,4.3,0.821,88392
EF-C-0001709,1,EF-688538,EQ-874163,Graviton Extractor,5.63,Epsilon,1119.84,19.34,0.701,92045
EF-C-0001710,2,EF-688538,EQ-874163,Graviton Extractor,5.63,Epsilon,1119.84,19.34,0.701,44686
EF-C-0001711,1,EF-688538,EQ-874163,Graviton Extractor,5.63,Epsilon,1119.84,19.34,0.701,99765
EF-C-0001712,2,EF-688538,EQ-874163,Graviton Extractor,5.63,Epsilon,1119.84,19.34,0.701,95248
EF-C-0001713,1,EF-948804,EQ-790138,Quantum Bore,6.422,Epsilon,303.4,23.56,0.749,132247
EF-C-0001714,1,EF-898561,EQ-776943,ReglAggregators,10.616,Zeta,361.22,22.54,0.7,152398
EF-C-0001715,1,EF-316388,EQ-707546,Quantum Bore,19.621,Epsilon,905.02,12.58,0.177,197780
EF-C-0001716,1,EF-274070,EQ-043467,ReglAggregators,7.873,Zeta,537.89,10.89,0.544,71830
EF-C-0001717,1,EF-606008,EQ-736074,ReglAggregators,6.263,Epsilon,1690.84,21.68,0.452,22156
EF-C-0001718,1,EF-469461,EQ-249180,Ion Pulverizer,14.254,Helionis Cluster,1536.93,6.4,0.522,138084
EF-C-0001719,1,EF-070106,EQ-992372,Ion Pulverizer,17.94,Zeta,1642.42,14.98,0.444,117069
EF-C-0001720,1,EF-839571,EQ-131844,Graviton Extractor,7.064,Helionis Cluster,512.54,2.15,0.874,59829
EF-C-0001721,1,EF-637121,EQ-196671,ReglAggregators,17.161,Epsilon,1654.75,12.7,0.787,69097
EF-C-0001722,1,EF-294268,EQ-179742,ReglAggregators,11.221,Zeta,575.62,1.54,0.714,248078
EF-C-0001723,1,EF-562035,EQ-834690,Ion Pulverizer,10.611,Zeta,1511.03,18.17,0.34,80725
EF-C-0001724,1,EF-717859,EQ-368097,FexStram Carrier,3,Helionis Cluster,955.36,10.1,0.574,13813
EF-C-0001725,1,EF-010165,EQ-692386,Quantum Bore,13.992,Zeta,629.96,16.81,0.98,230787
EF-C-0001726,1,EF-206785,EQ-418909,Ion Pulverizer,5.204,Zeta,469.64,12.12,0.544,45298
EF-C-0001727,-1,EF-225461,EQ-153692,Flux Rider,11.887,Zeta,992.08,7.87,0.321,98491
EF-C-0001728,1,EF-208665,EQ-685136,Flux Rider,15.341,Epsilon,1257.01,15.8,0.761,61942
EF-C-0001729,2,EF-208665,EQ-685136,Flux Rider,15.341,Epsilon,1257.01,15.8,0.761,53159
EF-C-0001730,1,EF-208665,EQ-685136,Flux Rider,15.341,Epsilon,1257.01,15.8,0.761,85887
EF-C-0001731,2,EF-208665,EQ-685136,Flux Rider,15.341,Epsilon,1257.01,15.8,0.761,84959
EF-C-0001732,1,EF-372313,EQ-998032,Graviton Extractor,16.812,Helionis Cluster,1206.22,9.02,0.896,40191
EF-C-0001733,1,EF-371693,EQ-707674,ReglAggregators,15.664,Zeta,600.89,11.61,0.376,112746
EF-C-0001734,1,EF-717901,EQ-689152,Ion Pulverizer,13.804,Helionis Cluster,1076.02,19.75,0.672,106879
EF-C-0001735,1,EF-488665,EQ-339134,Ion Pulverizer,18.559,Epsilon,1223.07,14.55,0.619,81929
EF-C-0001736,1,EF-337596,EQ-707243,Quantum Bore,17.937,Epsilon,560.63,10.59,0.263,59530
EF-C-0001737,1,EF-888895,EQ-863501,Quantum Bore,12.371,Helionis Cluster,810.94,23.55,0.553,135383
EF-C-0001738,1,EF-129961,EQ-035697,Ion Pulverizer,11.132,Zeta,1155.23,21.79,0.822,131319
EF-C-0001739,1,EF-897889,EQ-602424,Quantum Bore,3,Epsilon,409.25,9.79,0.827,109475
EF-C-0001740,1,EF-081867,EQ-285628,Graviton Extractor,13.441,Helionis Cluster,1280.08,11.18,0.59,63163
EF-C-0001741,1,EF-264919,EQ-502325,ReglAggregators,15.493,Helionis Cluster,528.49,23.43,0.74,69734
EF-C-0001742,1,EF-444998,EQ-611944,Quantum Bore,3,Epsilon,621.51,7.87,0.628,80441
EF-C-0001743,1,EF-501790,EQ-300308,Graviton Extractor,17.2,Epsilon,729.36,9.93,0.083,43809
EF-C-0001744,1,EF-446792,EQ-915951,ReglAggregators,16.677,Zeta,1194.42,13.3,0.831,110275
EF-C-0001745,2,EF-446792,EQ-915951,ReglAggregators,16.677,Zeta,1194.42,13.3,0.831,81440
EF-C-0001746,1,EF-446792,EQ-915951,ReglAggregators,-16.677,Zeta,1194.42,13.3,0.831,94252
EF-C-0001747,2,EF-446792,EQ-915951,ReglAggregators,16.677,Zeta,1194.42,13.3,0.831,102635
EF-C-0001748,1,EF-032718,EQ-570017,Quantum Bore,15.152,Epsilon,1178.52,17.24,0.463,149803
EF-C-0001749,1,EF-383961,EQ-019753,Quantum Bore,12.022,Zeta,1094.34,11.51,0.648,164240
EF-C-0001750,1,EF-117361,EQ-768147,Graviton Extractor,8.178,Helionis Cluster,1687.42,3.13,0.534,84078
EF-C-0001751,1,EF-625393,EQ-403404,ReglAggregators,10.872,Helionis Cluster,171.05,5.79,0.669,86780
EF-C-0001752,1,EF-686103,EQ-888345,Graviton Extractor,17.812,Zeta,1470.96,3.55,0.859,47910
EF-C-0001753,1,EF-431991,EQ-798209,Flux Rider,13.211,Zeta,1704.84,23.28,0.759,95988
EF-C-0001754,1,EF-404116,EQ-331451,Graviton Extractor,6.303,Epsilon,536.45,22.85,0.366,18798
EF-C-0001755,1,EF-346905,EQ-753367,Flux Rider,5.658,Helionis Cluster,1735.6,0.2,0.829,32826
EF-C-0001756,1,EF-261696,EQ-580190,Quantum Bore,6.653,Helionis Cluster,744.54,4.28,0.812,87578
